panel,feature,f_t,f_t1,omega
stable: $\Delta\approx0=\omega$,0,0.16518159507632404,0.16525352222918419,0.0
stable: $\Delta\approx0=\omega$,1,0.029751536218572388,0.020656695426774275,0.0
stable: $\Delta\approx0=\omega$,2,0.13787850428069706,0.13549202223670753,0.0
stable: $\Delta\approx0=\omega$,3,0.07280678602349225,0.06951714331576367,0.0
stable: $\Delta\approx0=\omega$,4,0.00943159383155424,0.008708204557956293,0.0
stable: $\Delta\approx0=\omega$,5,0.024447752847365098,0.024687967436622035,0.0
stable: $\Delta\approx0=\omega$,6,0.09080878282695043,0.10004080426496173,0.0
stable: $\Delta\approx0=\omega$,7,0.0189063271272446,0.018417918510250667,0.0
stable: $\Delta\approx0=\omega$,8,0.020427355987323245,0.020606856214344535,0.0
stable: $\Delta\approx0=\omega$,9,0.03420765270372778,0.03959576127358054,0.0
stable: $\Delta\approx0=\omega$,10,0.0644767094780871,0.06942108684389244,0.0
stable: $\Delta\approx0=\omega$,11,0.005850923077098306,0.004554269820402429,0.0
stable: $\Delta\approx0=\omega$,12,0.00113398942842263,0.001242478723973505,0.0
stable: $\Delta\approx0=\omega$,13,0.008914257748686965,0.005945275394297652,0.0
stable: $\Delta\approx0=\omega$,14,0.012388492011173828,0.0156895495934705,0.0
stable: $\Delta\approx0=\omega$,15,0.11208330967098677,0.11216466490766558,0.0
stable: $\Delta\approx0=\omega$,16,0.0003523596631022678,0.0002561335720414862,0.0
stable: $\Delta\approx0=\omega$,17,0.008548627322602241,0.005854604104387467,0.0
stable: $\Delta\approx0=\omega$,18,0.03229598754907379,0.034422893732359336,0.0
stable: $\Delta\approx0=\omega$,19,0.15010745712751491,0.14747214784136436,0.0
unwarranted: $\Delta>0=\omega$,0,0.4674092148586554,0.4436564534959857,0.0
unwarranted: $\Delta>0=\omega$,1,0.0020388074567583747,0.03093406568814036,0.0
unwarranted: $\Delta>0=\omega$,2,0.01560365711396753,0.0152734139061182,0.0
unwarranted: $\Delta>0=\omega$,3,0.006693606772330419,0.006331782327578206,0.0
unwarranted: $\Delta>0=\omega$,4,0.17070604866602207,0.14931099396626216,0.0
unwarranted: $\Delta>0=\omega$,5,0.011834498519471666,0.012127066743684948,0.0
unwarranted: $\Delta>0=\omega$,6,0.003659775448676864,0.0024410920580345517,0.0
unwarranted: $\Delta>0=\omega$,7,0.0030370307565679316,0.0022757627100165804,0.0
unwarranted: $\Delta>0=\omega$,8,0.0706908821564193,0.07362426000440916,0.0
unwarranted: $\Delta>0=\omega$,9,0.05319357349991237,0.06861604217498227,0.0
unwarranted: $\Delta>0=\omega$,10,0.00986504539172408,0.00995454734763717,0.0
unwarranted: $\Delta>0=\omega$,11,4.138120251822332e-05,0.00016359530938731296,0.0
unwarranted: $\Delta>0=\omega$,12,0.013419012783630136,0.01531111235502315,0.0
unwarranted: $\Delta>0=\omega$,13,0.005806507468686025,0.007298571219101422,0.0
unwarranted: $\Delta>0=\omega$,14,0.018452049630598336,0.02802984711377946,0.0
unwarranted: $\Delta>0=\omega$,15,0.02626330399543795,0.02761689583713006,0.0
unwarranted: $\Delta>0=\omega$,16,0.02398170037068541,0.026314055220789202,0.0
unwarranted: $\Delta>0=\omega$,17,0.0646887154615772,0.05306920199678538,0.0
unwarranted: $\Delta>0=\omega$,18,0.0009288902287468625,5.26288107287162e-05,0.0
unwarranted: $\Delta>0=\omega$,19,0.031686298217613804,0.02759861171442612,0.0
warranted: $\Delta\approx\omega>0$,0,0.22134683682837014,0.3728520873279766,0.0918729144049743
warranted: $\Delta\approx\omega>0$,1,0.018809101813215413,0.02298774554338751,0.0918729144049743
warranted: $\Delta\approx\omega>0$,2,0.018192498604191,0.020889356749712606,0.0918729144049743
warranted: $\Delta\approx\omega>0$,3,0.0741975025871363,0.12423779588956375,0.0918729144049743
warranted: $\Delta\approx\omega>0$,4,0.1193066697357103,0.1945222342729661,0.0918729144049743
warranted: $\Delta\approx\omega>0$,5,0.36129857144892547,0.049113000341711247,0.0918729144049743
warranted: $\Delta\approx\omega>0$,6,0.0012295943487033833,0.004933681051949024,0.0918729144049743
warranted: $\Delta\approx\omega>0$,7,0.008511705868163254,0.0006753169243996361,0.0918729144049743
warranted: $\Delta\approx\omega>0$,8,0.028668192962205814,0.007756159385083852,0.0918729144049743
warranted: $\Delta\approx\omega>0$,9,0.04382028744701265,0.03423705111264905,0.0918729144049743
warranted: $\Delta\approx\omega>0$,10,0.00032957233967974563,0.000920815400971696,0.0918729144049743
warranted: $\Delta\approx\omega>0$,11,0.011808303474935028,0.010719152159450364,0.0918729144049743
warranted: $\Delta\approx\omega>0$,12,0.008666723029867115,0.01143632967081172,0.0918729144049743
warranted: $\Delta\approx\omega>0$,13,0.04331003737592445,0.034813799977989085,0.0918729144049743
warranted: $\Delta\approx\omega>0$,14,0.009152194924942821,0.003120454264782542,0.0918729144049743
warranted: $\Delta\approx\omega>0$,15,0.010881472177488775,0.011154357383054201,0.0918729144049743
warranted: $\Delta\approx\omega>0$,16,0.00902455806798436,0.0026453764936536697,0.0918729144049743
warranted: $\Delta\approx\omega>0$,17,9.489111096018854e-05,0.08114740707280027,0.0918729144049743
warranted: $\Delta\approx\omega>0$,18,2.959914246533532e-05,0.005953380425217552,0.0918729144049743
warranted: $\Delta\approx\omega>0$,19,0.011321686712118266,0.0058844985518696526,0.0918729144049743
